name,tradeType,ticker,strikePrice,optionType,date,price,timePlaced
deluxe,BTO,LULU,312.5,C,4/9,0.92,2021-04-05 11:05:09.975090
OptionsNinja,STC,TSLA,735.0,C,4/9,8.0,2021-04-05 11:09:35.646943
hyp3rstr34m,BTO,NIO,42.0,C,4/9,0.46,2021-04-05 11:11:02.166149
illectronic,STC,ZM,325.0,C,4/9/21,5.7,2021-04-05 11:14:51.874653
Turtlemankam,STC,ZM,330.0,C,4/9,3.9,2021-04-05 11:15:54.992204
dimes,STC,AMD,82.5,C,4/16,1.53,2021-04-05 11:20:29.285865
elco-bets,BTO,DKNG,65.0,C,5/21,4.6,2021-04-05 11:25:42.107296
OptionsNinja,BTO,TSLA,675.0,P,4/9,10.75,2021-04-05 11:26:51.074273
elco-bets,BTO,OXY,56.0,C,5/21,1.9,2021-04-05 11:28:39.515675
Hamfam,BTO,NFLX,560.0,C,4/9,1.7,2021-04-05 11:29:16.855462
shinmoon,BTO,NFLX,560.0,C,4/9,1.52,2021-04-05 11:29:48.961485
N1k,STC,TSLA,760.0,C,4/9,4.2,2021-04-05 11:33:11.438471
Александр Наркомандр (shurkin),STC,PAYX,100.0,P,4/16,1.85,2021-04-05 11:38:31.918969
HawaiianBeefy,BTO,SNAP,65.0,C,5/21,2.05,2021-04-05 11:39:20.988949
dauntless (Swing trades),STC,DOCU,220.0,C,5/21,6.0,2021-04-05 11:40:07.625211
HawaiianBeefy,STC,BAC,38.0,C,4/16,1.09,2021-04-05 11:41:12.982250
LiquidUnicorn$,BTO,AMD,90.0,C,4/16,0.23,2021-04-05 11:41:50.134889
WallyWest,BTO,PLTR,22.0,P,4/9,0.17,2021-04-05 11:48:43.135645
OptionsNinja,BTO,SPY,405.0,P,4/9,1.88,2021-04-05 11:52:48.952459
hellboii,STC,NFLX,550.0,C,4/9,4.1,2021-04-05 11:53:35.835036
Zachy,BTO,NIO,40.0,C,4/9,1.2,2021-04-05 11:56:34.453940
OptionsNinja,BTO,AMC,11.0,P,4/9,0.88,2021-04-05 12:00:49.002731
HouseHufflepuff.🧧,BTO,KWEB,80.0,C,4/16,1.54,2021-04-05 12:01:36.411950
Eco,STC,AMD,81.0,C,4/09,1.4,2021-04-05 12:08:01.958803
OptionsNinja,STC,AMC,11.0,P,4/9,0.8,2021-04-05 12:12:03.325636
RedAle,STC,SNAP,53.0,C,4/9/21,2.35,2021-04-05 12:18:40.673367
OptionsNinja,STC,SRNE,8.0,C,4/16,0.72,2021-04-05 12:22:06.425763
TheOneNamedJack,STC,NVDA,575.0,C,4/9,3.25,2021-04-05 12:25:50.823727
PK,BTO,NFLX,590.0,C,4/16,1.05,2021-04-05 12:28:47.733297
OptionsNinja,STC,OPEN,22.0,C,4/16,0.95,2021-04-05 12:33:54.605262
Ceo—,BTO,R,80.0,C,4/16,0.95,2021-04-05 12:44:35.237289
OddPopcorn,BTO,MU,95.0,C,4/09,1.1,2021-04-05 12:50:45.327647
naveen,BTO,SAP,135.0,C,12/17,9.3,2021-04-05 12:51:45.797941
naveen,BTO,SAP,135.0,C,12/17,7.4,2021-04-05 12:52:00.218970
Ed | TiT,BTO,MSFT,255.0,C,4/16,1.75,2021-04-05 12:52:31.287440
Muse,bto,intc,61.0,P,5/7,0.82,2021-04-05 12:52:45.717292
Devin 11,STC,AMZN,3300.0,C,4/9,10.2,2021-04-05 12:53:22.733252
YOLOtrader,BTO,GME,200.0,C,4/9,9.11,2021-04-05 12:53:44.227153
Gradyv (Moderator),BTO,LULU,315.0,C,4/23,3.25,2021-04-05 12:54:16.821472
Hamfam,BTO,NFLX,560.0,C,4/9,1.62,2021-04-05 12:58:07.136424
hockeysniper,STC,V,220.0,C,4/16,2.66,2021-04-05 12:58:19.918383
Muse,bto,chwy,90.0,C,5/21,3.1,2021-04-05 12:58:34.075042
ranman1665,STC,DAL,50.0,C,4/9,0.95,2021-04-05 12:58:41.518170
Kromosome,BTO,VIAC,45.0,C,6/18,4.25,2021-04-05 13:01:14.910755
The ßlind Monk,STC,SPY,404.0,P,4/7,0.13,2021-04-07 09:06:17.120298
kuru,BTO,TSLA,685.0,C,4/16,24.87,2021-04-07 09:06:22.510030
x JOAT Trader x (HYBRID),Bto,crsp,125.0,C,4/9,0.71,2021-04-07 09:16:57.089666
Serpico,STC,SQ,280.0,C,4/16,0.52,2021-04-07 09:19:44.372112
OptionsNinja,STC,TSLA,685.0,P,4/9,16.65,2021-04-07 09:20:54.881609
OptionsNinja,STC,SNAP,60.0,C,4/16,2.15,2021-04-07 09:24:30.857446
N1k,BTO,TSLA,660.0,P,4/9,6.2,2021-04-07 09:33:02.312934
HawaiianBeefy,BTO,BAC,40.0,C,5/21,1.5,2021-04-07 09:34:19.340115
N1k,BTO,FB,307.5,P,4/9,1.68,2021-04-07 09:39:38.006189
Turtlemankam,BTO,TSLA,660.0,P,4/16,17.0,2021-04-07 09:40:55.250869
NubiTrader,BTO,MSFT,262.5,C,4/30,2.25,2021-04-07 09:40:56.383294
NubiTrader,BTO,SPY,406.0,C,4/9,1.68,2021-04-07 09:44:05.162550
ChesterSwingTrades (TBucNation),BTO,SPCE,33.0,C,5/21,2.68,2021-04-07 09:44:20.212600
Soliquid,BTO,NVDA,570.0,C,4/9,2.44,2021-04-07 09:46:00.969370
Taylor,BTO,PENN,105.0,C,5/21,10.1,2021-04-07 09:46:02.028367
NubiTrader,STC,SPY,406.0,C,4/9,1.78,2021-04-07 09:48:35.181245
mahesh,BTO,TSLA,677.5,C,4/9,13.65,2021-04-07 09:49:39.513853
N1k,STC,FB,307.5,P,4/9,1.62,2021-04-07 09:51:30.757897
Emma T,STC,JPM,155.0,C,4/9,0.88,2021-04-07 09:51:46.921437
Eco,STC,JPM,150.0,C,4/09,0.85,2021-04-07 09:53:17.366909
hellboii,BTO,FB,320.0,C,4/16,2.86,2021-04-07 09:54:34.383330
Eco,STC,JPM,155.0,C,4/09,0.85,2021-04-07 09:54:36.543195
N1k,STC,TSLA,660.0,P,4/9,6.7,2021-04-07 09:55:07.005803
T.Y.,BTO,SOS,5.5,C,4/9/21,0.73,2021-04-07 09:56:22.356798
kuru,STC,Amat,145.0,C,04/30,3.2,2021-04-07 09:56:23.529061
N1k,BTO,TSLA,660.0,P,4/9,6.7,2021-04-07 09:56:28.282574
Muse,bto,amc,15.0,C,5/21,0.63,2021-04-07 09:56:50.492315
dauntless (Swing trades),BTO,CLSK,30.0,C,5/21,1.54,2021-04-07 09:57:20.126030
Devin 11,BTO,NVDA,565.0,C,4/9,4.08,2021-04-07 09:58:16.971962
N1k,STC,TSLA,660.0,P,4/9,7.6,2021-04-07 09:59:10.714237
Muse,stc,qcom,95.0,C,1/20/23,48.0,2021-04-07 10:00:26.524686
Rev,STC,JPM,155.0,C,4/9,0.81,2021-04-07 10:00:29.967525
Turtlemankam,BTO,MA,372.5,C,4/9,1.82,2021-04-07 10:00:32.378425
T.Y.,BTO,AMC,15.0,C,5/21/21,0.64,2021-04-07 10:00:51.475691
Arsenal,BTO,XOM,57.0,C,4/9,0.37,2021-04-07 10:01:47.578326
tgrim,BTO,PZZA,95.0,C,4/9,0.35,2021-04-07 10:02:07.992205
Turtlemankam,STC,ROKU,365.0,C,4/9,4.9,2021-04-07 10:04:27.032418
tydominguez,Bto,pypl,257.5,C,4/9,1.9,2021-04-07 10:04:27.229346
dauntless (Swing trades),BTO,HUM,330.0,C,5/14,5.87,2021-04-07 10:08:25.412951
Turtlemankam,BTO,QQQ,330.0,P,4/9,1.75,2021-04-07 10:09:44.092779
Soliquid,STC,NVDA,570.0,C,4/9,3.45,2021-04-07 10:10:48.282504
JTrader,BTO,PLTR,23.0,C,4/16,0.95,2021-04-07 10:11:54.952608
Devin 11,STC,NVDA,565.0,C,4/9,5.25,2021-04-07 10:12:44.909122
dauntless (Swing trades),BTO,HUM,430.0,C,5/14,5.87,2021-04-07 10:14:30.317845
xy0zv8pg,BTO,NRG,40.0,C,5/21,1.17,2021-04-07 10:20:32.279417
stevenw9930,BTO,TSLA,700.0,C,1/21/22,149.95,2021-04-07 10:22:36.661940
OddPopcorn,STC,LB,64.0,C,4/9,1.32,2021-04-07 10:28:18.430295
Muse,bto,feye,22.0,C,6/18,0.8,2021-04-07 10:30:58.907307
tydominguez,Bto,pypl,257.5,C,4/9,1.55,2021-04-07 10:31:49.890253
muu3,BTO,SPCE,30.0,C,4/16,1.15,2021-04-07 10:36:57.240448
mahesh,BTO,REGN,480.0,C,4/9,3.8,2021-04-07 10:41:44.500743
skepticule,BTO,NUGT,60.0,C,4/9,1.1,2021-04-07 10:43:50.869739
Trevor,BTO,SPY,408.0,C,4/7,0.06,2021-04-07 10:43:50.967151
muu3,BTO,PG,135.0,C,5/21,4.03,2021-04-07 10:47:10.664400
LordMiyagi,BTO,Feye,22.0,C,6/18,0.81,2021-04-07 10:47:51.008713
tydominguez,Stc,pypl,257.5,C,4/9,1.88,2021-04-07 10:48:39.128021
MelloDreams,BTO,TSLA,700.0,C,4/16,15.0,2021-04-07 10:53:46.190093
Shrooms,BTO,NIO,40.0,C,10/15,6.92,2021-04-07 10:55:10.629249
Clem,STC,JPM,155.0,C,4/9,1.05,2021-04-07 11:01:11.921197
HawaiianBeefy,STC,BAC,40.0,C,5/21,1.7,2021-04-07 11:01:54.927352
x JOAT Trader x (HYBRID),Bto,tsla,800.0,C,4/16,1.3,2021-04-07 11:04:17.281436
skepticule,STC,NVDA,545.0,P,4/9,0.75,2021-04-07 11:04:41.670854
x JOAT Trader x (HYBRID),Bto,tsla,800.0,C,4/16,1.31,2021-04-07 11:04:49.917636
Turtlemankam,BTO,QQQ,330.0,P,4/9,1.35,2021-04-07 11:07:37.652144
Shiv_Shiva,BTO,TSLA,680.0,C,4/9,11.88,2021-04-07 11:07:52.257649
skepticule,BTO,ABNB,185.0,C,4/9,2.24,2021-04-07 11:08:34.403359
N1k,BTO,TSLA,660.0,P,4/9,5.5,2021-04-07 11:09:11.384945
skepticule,BTO,PTON,119.0,C,4/9,0.79,2021-04-07 11:09:55.948781
N1k,STC,TSLA,660.0,P,4/9,5.3,2021-04-07 11:09:57.566425
WallyWest,STC,TSLA,717.5,C,4/9,2.25,2021-04-07 11:10:57.660140
Kromosome,BTO,MSFT,250.0,P,04/16,3.1,2021-04-07 11:12:56.044412
Kromosome,BTO,MSFT,250.0,P,04/16,3.1,2021-04-07 11:13:27.032466
skepticule,BTO,LMND,98.0,C,4/9,0.5,2021-04-07 11:13:49.474289
Devin 11,STC,NVDA,575.0,C,4/16,10.0,2021-04-07 11:14:58.631907
Michele,BTO,SQ,250.0,C,4/09,3.4,2021-04-07 11:16:11.668169
HouseHufflepuff.🧧,STC,LEVI,24.0,C,4/16,1.3,2021-04-07 11:16:23.816956
HawaiianBeefy,STC,BAC,40.0,C,5/21,1.65,2021-04-07 11:17:24.869730
Turtlemankam,BTO,LMND,96.0,C,4/9,0.85,2021-04-07 11:17:47.839301
WallyWest,BTO,AMD,92.0,P,9/4,0.44,2021-04-07 11:19:15.848339
WallyWest,BTO,AMD,92.0,P,4/9,0.44,2021-04-07 11:21:03.174391
HouseHufflepuff.🧧,BTO,PII,145.0,C,4/16,0.75,2021-04-07 11:21:36.187439
OptionsNinja,BTO,TSLA,700.0,C,4/9,5.3,2021-04-07 11:21:53.402493
jayjay,BTO,BYND,135.0,C,4/16,2.49,2021-04-07 11:22:28.354075
WallyWest,BTO,AMD,82.0,P,9/4,0.44,2021-04-07 11:23:04.360929
Riley,BTO,LMND,94.0,C,4/9,1.4,2021-04-07 11:23:15.620019
N1k,STC,TSLA,660.0,P,4/9,5.85,2021-04-07 11:23:30.473461
WallyWest,BTO,AMD,82.0,P,4/9,0.48,2021-04-07 11:24:01.799180
HawaiianBeefy,BTO,IWM,215.0,P,5/21,5.06,2021-04-07 11:25:52.905805
Muse,bto,dnn,1.5,C,7/16,0.2,2021-04-07 11:33:30.951288
tydominguez,Bto,viac,55.0,C,9/17,3.25,2021-04-07 11:42:42.110703
Taylor,BTO,SPY,415.0,C,4/16,0.55,2021-04-07 11:47:38.872614
AV00,STO,X,19.0,P,5/21,0.69,2021-04-07 11:48:16.815333
Turtlemankam,STC,LMND,96.0,C,4/9,0.75,2021-04-07 11:51:35.533680
Turtlemankam,STC,QQQ,330.0,P,4/9,1.2,2021-04-07 11:53:41.542704
Turtlemankam,BTO,TWTR,69.0,P,4/9,0.92,2021-04-07 11:57:18.910893
N1k,BTO,TSLA,660.0,P,4/9,7.25,2021-04-07 11:57:26.698520
Turtlemankam,STC,TWTR,69.0,P,4/9,1.02,2021-04-07 12:02:50.549509
Alexander_96,@here,BTO,30.0,P,5/21,1.85,2021-04-07 12:03:02.620146
wlfgng,BTO,TWTR,70.0,C,4/16,1.76,2021-04-07 12:03:27.718267
muu3,STC,,30.0,C,4/16,1.22,2021-04-07 12:07:02.623185
Trigger,BTO,NCLH,30.0,P,5/21,1.85,2021-04-07 12:07:49.020852
wlfgng,BTO,TSLA,800.0,C,4/16,1.23,2021-04-07 12:08:36.063394
Pyro🔥,BTO,SNAP,55.0,C,7/16,10.55,2021-04-07 12:10:33.934498
Turtlemankam,BTO,ZM,325.0,C,4/9,4.1,2021-04-07 12:11:17.310638
sujith,BTO,W,350.0,C,4/16,3.2,2021-04-07 12:11:53.781359
kuru,STC,TSLA,685.0,C,4/16,20.0,2021-04-07 12:13:12.463389
galangster,BTO,SOS,6.0,C,4/9,0.45,2021-04-07 12:14:25.376721
NoorGator,BTO,AMD,42.0,C,4/9,1.1,2021-04-07 12:17:56.657658
NoorGator,BTO,AMD,82.0,C,4/9,1.1,2021-04-07 12:19:10.017884
Turtlemankam,STC,ZM,325.0,C,4/9,4.4,2021-04-07 12:23:33.065559
T.Y.,STC,SOS,5.5,C,4/9/21,0.88,2021-04-07 12:24:28.872458
Kromosome,BTO,NCLH,30.0,P,5/21,1.85,2021-04-07 12:27:12.681988
N1k,STC,TSLA,660.0,P,4/9,8.75,2021-04-07 12:28:29.409591
muu3,STC,LB,64.0,C,4/9,1.3,2021-04-07 12:28:57.856013
Turtlemankam,STC,TSLA,660.0,P,4/16,20.8,2021-04-07 12:29:48.264831
Taylor,STC,PENN,105.0,C,5/21,9.05,2021-04-07 12:32:10.094701
kuru,BTO,TSLA,670.0,C,4/16,25.05,2021-04-07 12:32:18.450050
Taylor,STC,NIO,35.0,C,1/21/22,10.2,2021-04-07 12:32:56.588203
WallyWest,STC,AMD,92.0,P,4/9,0.7,2021-04-07 12:33:00.835466
Eco,STC,JPM,155.0,C,4/09,0.85,2021-04-07 12:33:05.769059
Emma T,BTO,SOS,7.0,C,4/9,0.3,2021-04-07 12:33:28.644552
Taylor,BTO,KHC,40.0,C,5/21,1.88,2021-04-07 12:37:00.890640
T.Y.,BTO,ORCL,75.0,C,4/9/21,0.2,2021-04-07 12:37:41.756374
HouseHufflepuff.🧧,BTO,ASO,45.0,C,4/16,0.45,2021-04-07 12:40:45.501849
WallyWest,STC,AMD,82.0,P,4/9,0.71,2021-04-07 12:42:20.248612
HouseHufflepuff.🧧,BTO,CAT,240.0,C,4/09,0.14,2021-04-07 12:42:56.375029
slam,BTO,JD,85.0,C,5/21,2.85,2021-04-07 12:45:28.270624
Clem,STC,JPM,155.0,C,4/9,1.1,2021-04-07 12:46:04.155858
iammams,BTO,VIAC,45.0,C,4/9,0.47,2021-04-07 12:46:53.084179
incidrthreat,STC,TWTR,64.0,C,4/9,5.0,2021-04-07 12:47:08.486974
muu3,BTO,ABNB,200.0,C,04/16,1.12,2021-04-07 12:48:29.200024
slam,BTO,NVAX,250.0,C,7/16,18.8,2021-04-07 12:51:09.687068
iammams,STC,VIAC,45.0,C,4/9,0.55,2021-04-07 12:54:12.144300
Taylor,BTO,ADBE,500.0,C,4/16,4.55,2021-04-07 12:54:21.553962
Eureka,BTO,ABNB,195.0,C,4/16,1.75,2021-04-07 12:55:46.078624
skepticule,STC,ABNB,185.0,C,4/9,1.42,2021-04-07 12:57:31.413636
Ed | TiT,BTO,DDOG,90.0,C,4/16,1.37,2021-04-07 12:58:44.856601
brycat23,BTO,DDOG,90.0,C,4/16,1.38,2021-04-07 12:59:28.832403
tgrim,STC,PZZA,95.0,C,4/9,2.5,2021-04-07 13:00:39.941975
skepticule,BTO,SPY,400.0,P,4/16,1.26,2021-04-07 13:02:52.959786
KipWafflehouse,BTO,AMC,10.0,C,4/16,0.61,2021-04-07 13:06:51.473646
KipWafflehouse,BTO,AMC,10.0,C,4/16,0.61,2021-04-07 13:07:17.936848
muu3,STC,ABNB,200.0,C,04/16,1.02,2021-04-08 09:30:26.971123
Serpico,BTO,AAPL,135.0,C,4/16,0.32,2021-04-08 09:30:45.763586
Phasers,BTO,CRWD,210.0,C,4/16,2.36,2021-04-08 09:31:03.861888
Phasers,BTO,CRWD,210.0,C,4/16,2.36,2021-04-08 09:31:20.567398
Michele,Bto,AMZN,3400.0,C,4/09,1.6,2021-04-08 09:32:43.575278
N1k,BTO,TSLA,690.0,C,4/9,7.85,2021-04-08 09:33:09.091025
x JOAT Trader x (HYBRID),Bto,qqq,330.0,P,4/9,0.25,2021-04-08 09:33:25.131500
tydominguez,Bto,wmt,141.0,C,4/9,0.2,2021-04-08 09:33:56.223788
Muse,bto,lulu,315.0,C,4/16,3.9,2021-04-08 09:34:34.379382
HawaiianBeefy,STC,IWM,215.0,P,5/21,4.79,2021-04-08 09:36:10.946902
Serpico,BTO,SPY,409.0,C,4/9,0.83,2021-04-08 09:37:41.877217
Phasers,STC,CRWD,210.0,C,4/16,2.52,2021-04-08 09:38:34.814620
Thunderbutt,BTO,PLUG,35.0,C,4/9,0.25,2021-04-08 09:38:56.636783
Hamfam,STC,CWRD,210.0,C,4/9,0.9,2021-04-08 09:42:38.808562
themillprojects,STC,PLTR,25.0,C,4/9,0.04,2021-04-08 09:43:32.920758
wlfgng,IN,TSLA,750.0,C,6/18,45.45,2021-04-08 09:45:09.023248
wlfgng,BTO,TSLA,750.0,C,6/18,45.45,2021-04-08 09:46:27.087776
The ßlind Monk,STC,SPY,409.0,C,4/9,0.72,2021-04-08 09:48:43.084682
Cherno,STC,AMZN,3400.0,C,4/9,1.52,2021-04-08 09:48:52.804448
Serpico,STC,SPY,409.0,C,4/9,0.72,2021-04-08 09:50:16.109248
Serpico,BTO,SPY,407.0,C,4/9,0.77,2021-04-08 09:53:25.411746
Serpico,BTO,SPY,407.0,P,4/9,0.77,2021-04-08 09:53:36.168784
Tatoepaladin,BTO,GME,180.0,C,4/9,3.8,2021-04-08 09:54:07.304049
kuru,STC,TWTR,71.0,C,4/9,0.6,2021-04-08 09:54:36.081927
Muse,stc,lulu,315.0,C,4/16,4.4,2021-04-08 09:54:41.866172
jkwonn,STC,X,22.0,C,4/9,0.87,2021-04-08 09:55:40.825558
kuru,STC,TWTR,71.0,C,4/9,0.65,2021-04-08 09:55:44.120897
OddPopcorn,STC,AMZN,3400.0,C,4/9,1.92,2021-04-08 09:59:42.860428
Turtlemankam,BTO,CRWD,210.0,C,4/16,2.45,2021-04-08 10:02:51.230376
Serpico,BTO,SQ,260.0,C,4/9,1.5,2021-04-08 10:03:55.796513
Muse,bto,x,30.0,C,6/18,1.15,2021-04-08 10:05:56.115029
Turtlemankam,STC,NFLX,550.0,C,4/16,13.0,2021-04-08 10:06:34.288729
